ra,endereço,lat,lon
Itapoã,"DF 001 (EPCT) - ITA, KM 12, PRÓX. AO VIADUTO DO PARANOÁ/ITAPOÃ, SENT. ITAPOÃ",-15.763322,-47.776161
Park Way,"DF 025 (EPDB), KM 0,8 QUADRA 14 CONJUNTO 1 LOTE 1 PARK WAY",-15.872145,-47.952201
Gama,"DF 480, KM 3,5, PRÓX. AO CONDOMÍNIO FENIX, SENT. GAMA",-15.977286,-48.033485
Gama,"DF 290 - GAM, KM 8,6, PRÓX. AO AUTO POSTO DF 290",-16.019598,-48.185767
Vicente Pires,"DF 095 (EPCL) - VP, KM 10,2 SENTIDO DECRESCENTE FRENTE A KASA DOS COLCHOES RUA 12 CHACARA 143",-15.790986,-48.031279
São Sebastião,"DF 463 - SS, KM 0,6, PRÓX. DA SMART FIT SÃO SEBASTIÃO, SENT. SÃO SEBATIÃO",-15.885497,-47.815557
Recanto das Emas,"DF 280 - RE, KM 4,0, SENT. PLANO PILOTO",-15.934025,-48.217168
Sobradinho,"DF 150 - SOB, KM 10,8 SENTIDO DECRESCENTE CAPIM DOURADO",-15.610572,-47.871633
Riacho Fundo II,"DF 065 - RFII, KM 3,8 PROXIMO AO BALAO DO PIRIQUITO",-15.962258,-48.01655
Riacho Fundo II,"DF 065 - RFII, KM 3,8 PROXIMO AO BALAO DO PIRIQUITO",-15.962258,-48.01655
Planaltina,"DF 128, KM 02, SENT. PLANALTINA DE GOIÁS",-15.522016,-47.617414
Planaltina,"DF 128, KM 02, SENT. PLANALTINA DE GOIÁS",-15.522016,-47.617414
Park Way,"DF 003 (EPIA) - PW, KM 35 SENTIDO DECRESCENTE ANTES DO VIADUTO DO CATETINHO",-15.961929,-47.992594
Vicente Pires,"DF 095 (EPCL) - VP, KM 8, SENT. PLANO PILOTO",-15.787827,-48.012319999999995
Gama,"DF 001, KM 60, PRÓX. AO POSTO RODOBELLO, SENT. SAMAMBAIA",-15.953372,-48.031363
Park Way,"DF 079 (EPVP), KM 1 SENTIDO CREECENTE PAROQUIA IMACULADA CONCEICAO",-15.826883,-48.008671
Vicente Pires,"DF 095 (EPCL) - VP, KM 10, SENT. TAGUATINGA",-15.790292,-48.024853
Ceilândia,"DF 180 - CEI, KM 4,8, SENT. À BRAZLÂNDIA",-15.780511,-48.172294
Planaltina,"DF 128, KM 01, PRÓX. À PONTE DO RIO MARANHÃO, SENT. PLANALTINA DE GOIÁS",-15.503581,-47.617186
Planaltina,"DF 128, KM 6 - PRÓXIMO DO POSTO DA CPRV",-15.548224,-47.642923
Arapoanga,"DF-230, PRÓX. AO ENTRONCAMENTO COM A DF-345",-15.647519,-47.640581
Itapoã,"DF 001 (EPCT) - ITA, KM 8,9, PRÓX. AO ITAPOÃ PARQUE, BALÃO DA ROTA DO CAVALO",-15.727933,-47.789814
SIA,"DF 003 (EPIA) - SIA, KM 19,8 SENT. DECRESCENTE",-15.833191,-47.952381
Recanto das Emas,"DF 001 (EPCT) - RE, KM 63",-15.924996,-48.046824
Planaltina,"DF 250 - PLA, KM 20, PRÓX. À EMPRESA PIONEER",-15.728676,-47.608678
Taguatinga,"DF 001 (PISTÃO SUL) - TAG, KM 72, PRÓX. AO POSTO PISTÃO",-15.872166,-48.029576
Núcleo Bandeirante,"DF 075 (EPNB) - NB, KM 03, PRÓX. À UPA DO NÚCLEO BANDEIRANTE, SENT. AO PLANO PILOTO",-15.875334,-47.982533
São Sebastião,"DF 001, KM 32, PRÓX. À ENTRADA PARA A PAPUDA",-15.886759999999999,-47.821465
Santa Maria,"DF 290 - SM, KM 28,5, PRÓX. BALAO DO NOVO GAMA, SEMÁFORO",-16.048864,-48.029014
Riacho Fundo II,"DF 001 (EPCT) - RFII,KM 65,9, PRÓX. DA PASSARELA, SENT. GAMA/SAMAMBAIA",-15.898972,-48.054873
Samambaia,"DF 280 - SAM, KM 09, SENT. SANTO ANTONIO",-15.919927,-48.179214
Vicente Pires,"DF 001 (EPCT), KM 84,1, PRÓX. AO ACESSO AO ASSENTAMENTO 26 DE SETEMBRO, SENT. BRAZLÂNDIA",-15.772247,-48.045191
Guará,"DF 003 (EPIA), KM 20, PRÓX. AO PARK SHOPPING, SENT. OCTOGONAL",-15.834109999999999,-47.951962
Guará,"DF 003 (EPIA) - BSB, KM 14, PRÓX. AO ASSAÍ ATACADISTA",-15.833764,-47.951729
Paranoá,"DF 005 (EPPR), KM 10, PRÓX. AO ENTRONCAMENTO À DF 015",-15.757692,-47.813068
Sobradinho,"DF 150 - SOB, KM 13, PRÓX. AO ATACADÃO SUPERMERMERCADOS",-15.596773,-47.874678
São Sebastião,"DF 001 (EPCT), KM 32, SENT. DECRESCENTE, PRÓX. À ENTRADA DA PAPUDA",-15.908799,-47.821762
Gama,"DF 290 - GAM, KM 24,7, PRÓX. AO SETOR SUL Q 13 CJ J LT 2, ROTATÓRIA",-16.039645,-48.05598
Park Way,"DF 003 (EPIA) - PW, KM 32,6, PRÓX. À PASSARELA",-15.941923,-47.987952
Santa Maria,"DF 495, KM 2,7, PRÓX. AO TÚNEL DE TREM, SENT. ÁGUAS CORRENTES",-16.033725,-47.953689999999995
Núcleo Bandeirante,"DF 075 (EPNB) - NB, KM 03, PRÓX. À UPA DO NÚCLEO BANDEIRANTE, SENT. CRESCENTE",-15.875827,-47.985928
Vicente Pires,"MARGINAL DA DF 085 (EPTG) - VP, KM 7,4, PRÓX. À QD 4 CJ 4 AE 2, SENT. CRESCENTE",-15.818163,-48.015875
Sobradinho,"DF 150 - SOB, KM 11,7",-15.606839,-47.868889
Águas Claras,"DF 095 (EPCL) - EST, KM 5,5, PRÓX. À PARADA DE ÔNIBUS, SENT. TAGUATINGA",-15.787433,-47.988783
Gama,"DF 483 - GAM, KM 1,4, PRÓX. À PENITENCIÁRIA FEMININA DO DISTRITO FEDERAL",-16.007578,-48.041575
Guará,"DF 003 (EPIA) - BSB, KM 05, SENT. CRESCENTE",-15.712609,-47.899458
Gama,"DF 459, KM 1,2, PRÓX. DA PONTE, SENT. NORTE/SUL",-15.852682,-48.098102
São Sebastião,"DF 140 - SS, KM 05, SENT. CRESCENTE",-15.969789,-47.818766
Gama,"DF 459 - SAM, M 1,4, PRÓX. À PONTE",-15.854694,-48.097673
Sobradinho,"DF 003 (EPIA), KM 0,2, PRÓX. AO SPMN LT 2, BALAO DO COLORADO",-15.688939,-47.859648
Ceilândia,"DF 180 - CEI, KM 6,4, PRÓX. À ROTATÓRIA DE ACESSO À BR 070",-15.794502,-48.173101
Paranoá,"DF 001 (EPCT) - PAR, KM 12, SENT. PARANOÁ/LAGO SUL",-15.754661,-47.779613
Planaltina,"BR 020 - PLA, KM 42, SENT. CRESCENTE FORMOSA",-15.579211,-47.494591
Samambaia,"BR 060 - SAM, KM 6,2, PRÓX. À QR 519 CONJ. 08, SENT. GOIANIA",-15.898535,-48.114948
Planaltina,"BR 020 - PLA, KM 21, PRÓX. AO ULTRABOX",-15.601821,-47.681946
Ceilândia,"BR 070 - CEI, KM 08, PRÓX. AO ATACADÃO DIA A DIA",-15.784221,-48.123288
Samambaia,"BR 060 - SAM, KM 10, VIADUTO DE ACESSO A STO ANTONIO, SENT. BSB/GOIÂNIA",-15.907902,-48.145053
Brazlândia,"BR 080 - BRZ, KM 23, PRÓX. UNIDADE DE INTERNAÇÃO DE BRAZLÂNDIA - UIBRA",-15.645721,-48.201576
Ceilândia,"BR 070 - CEI, KM 9,615, PRÓX. AO COND. PRIVE LUCENA RORIZ, RUA 1 MOD 12 LT 1B",-15.785979999999999,-48.136882
Planaltina,"BR 020 - PLA, KM 42, APÓS O POSTO DA PRF, SENT. FORMOSA-GO",-15.579035,-47.493837
Santa Maria,"BR 040 - SM, KM 4,7, SENT. VALPARAÍSO DE GOIÁS",-16.018891,-47.981061
Brazlândia,"BR 080 - BRZ, KM 15,4, SENT. SUL/NORTE",-15.705797,-48.200766
Sobradinho,"BR 020, KM 11,5 , SENT. PLANALTINA, A MENOS DE 50 M DA PASSARELA",-15.64481,-47.471992
São Sebastião,"BR 251 - SS, KM 36,7, SENT. DF 140",-15.934272,-47.780318
Ceilândia,"BR 070, KM 19,5, SENT. BRASÍLIA",-15.789602,-48.10982
Taguatinga,"BR 070 - TAG, KM 1,8, SENT. TAGUATINGA/CEILÂNDIA",-15.796702,-48.069349
Santa Maria,"BR 251, KM 58,2, PRÓX. AO CORREGO DA ONÇA",-15.978413,-47.958356
Planaltina,"BR 020 - PLA, KM 31",-15.592371,-47.593666
São Sebastião,"BR 251 - SS, KM 37, PRÓX. À CHACARA BOA ESPERANÇA, QUEBRA MOLAS",-15.944117,-47.783726
Brazlândia,"BR 080 - BRZ, KM 12,3, PRÓX. À ENTRADA DO PESQUE NOVA OPÇÃO, SENT. BRAZLÂNDIA",-15.730751,-48.189133
Planaltina,"BR 020 - PLA, KM 26, SENT. FORMOSA",-15.596785,-47.636005
Samambaia,"BR 060 - SAM, KM 7,5, PRÓX. AO TERMINAL DE ÔNIBUS SAMAMBAIA SUL",-15.902194,-48.127249
Samambaia,"BR 060 - SAM, KM 6 , PRÓX. A QS 513 CJ F LT 8, SENTIDO GO",-15.894764,-48.10235
Brazlândia,"BR 080 - BRZ, KM 25,1 , APÓS A VENDINHA",-15.620011,-48.198841
Taguatinga,"BR-070 - TAG, KM 2,4, PRÓX. À PASSARELA DE ACESSO A FACULDADE FAJESU",-15.799734,-48.075768
Santa Maria,"BR 040 - SM, KM 1, SENT. DECRESCENTE",-15.98382,-47.987868
Taguatinga,"BR-070, KM 2,4 PRÓX. À QNG AE 08",-15.799631,-48.075736
Gama,"BR-060 - GAM, KM 22,34, PRÓX. AO SPA VILA VELUTTI, SENT. GOIÂNIA",-15.985193,-48.217634
Ceilândia,"BR 070 - CEI, KM 11,2, PRÓX. ATLANTIDA MÓVEIS, SENT. ÁGUAS LINDAS/GO",-15.790358,-48.152103
Planaltina,"BR 020 - PLA, KM 15",-15.627879,-47.729049999999994
